Address,Latitude,Longitude,Status
1600 Pennsylvania Ave NW Washington DC USA,38.897665,-77.036552,success
600 Montgomery St San Francisco CA USA,37.795174,-122.402748,success
11 Wall Street New York NY USA,40.642763,-74.078633,success
233 S Wacker Dr Chicago IL USA,41.87874,-87.635971,success
350 5th Ave New York NY USA,40.748442,-73.985659,success
221B Baker St London  United Kingdom,51.52375,-0.158555,success
Piazzale Michelangelo Florence  Italy,43.76292,11.26516,success
1 Rue des Carrieres Quebec QC G1R 4P5 Canada,46.811852,-71.205368,success
70b Rue des Violettes 68400 Riedisheim  France,47.751078,7.374609,success
16 Rue Alfred de Vigny 16000 Angoulême  France,45.647404,0.17016,success
